"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:19";64,37485;1;45320592583,6574
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:19";0;1;45320592583,669
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:19";10;1;45320592583,669
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:24";1,55;1;45320592642,1875
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:24";64,37087;1;45320592642,1875
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:24";0;1;45320592642,1991
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:24";10;1;45320592642,1991
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:29";1,55;1;45320592701,2963
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:29";64,36349;1;45320592701,2963
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:29";0;1;45320592701,3079
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:29";10;1;45320592701,3079
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:34";1,55;1;45320592759,838
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:34";64,36153;1;45320592759,838
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:34";0;1;45320592759,8495
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:34";10;1;45320592759,8495
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:40";1,55;1;45320592818,3681
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:40";64,36053;1;45320592818,3681
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:40";0;1;45320592818,3796
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:40";10;1;45320592818,3796
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:45";1,55;1;45320592876,8981
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:45";64,35889;1;45320592876,8981
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:45";0;1;45320592876,9097
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:45";10;1;45320592876,9097
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:50";1,55;1;45320592935,4282
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:50";64,3533;1;45320592935,4282
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:50";0;1;45320592935,4398
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:50";10;1;45320592935,4398
"DB_Reg_E111TIC01_SP";"2024-01-29 14:13:55";1,55;1;45320592993,9583
"DB_Reg_E111TIC01_PV";"2024-01-29 14:13:55";64,35624;1;45320592993,9583
"DB_Reg_E111TIC11_OP";"2024-01-29 14:13:55";0;1;45320592993,9583
"DB_Reg_E111TIC01_OP";"2024-01-29 14:13:55";10;1;45320592993,9699
"DB_Reg_E111TIC01_SP";"2024-01-29 14:14:00";1,55;1;45320593053,507
"DB_Reg_E111TIC01_PV";"2024-01-29 14:14:00";64,35052;1;45320593053,507
"DB_Reg_E111TIC11_OP";"2024-01-29 14:14:00";0;1;45320593053,5185
"DB_Reg_E111TIC01_OP";"2024-01-29 14:14:00";10;1;45320593053,5185
"DB_Reg_E111TIC01_SP";"2024-01-29 14:14:05";1,55;1;45320593112,037
"DB_Reg_E111TIC01_PV";"2024-01-29 14:14:05";64,34731;1;45320593112,037
"DB_Reg_E111TIC11_OP";"2024-01-29 14:14:05";0;1;45320593112,0486
"DB_Reg_E111TIC01_OP";"2024-01-29 14:14:05";10;1;45320593112,0486
"DB_Reg_E111TIC01_SP";"2024-01-29 14:14:10";1,55;1;45320593170,5671
"DB_Reg_E111TIC01_PV";"2024-01-29 14:14:10";64,3484;1;45320593170,5671
"DB_Reg_E111TIC11_OP";"2024-01-29 14:14:10";0;1;45320593170,5787
"DB_Reg_E111TIC01_OP";"2024-01-29 14:14:10";10;1;45320593170,5787
"DB_Reg_E111TIC01_SP";"2024-01-29 14:14:15";1,55;1;45320593229,1088
"DB_Reg_E111TIC01_PV";"2024-01-29 14:14:15";64,34827;1;45320593229,1088
"DB_Reg_E111TIC11_OP";"2024-01-29 14:14:15";0;1;45320593229,1204
"DB_Reg_E111TIC01_OP";"2024-01-29 14:14:15";10;1;45320593229,1204
"DB_Reg_E111TIC01_SP";"2024-01-29 14:14:20";1,55;1;45320593287,6505
"DB_Reg_E111TIC01_PV";"2024-01-29 14:14:20";64,3444;1;45320593287,6505
"DB_Reg_E111TIC11_OP";"2024-01-29 14:14:20";0;1;45320593287,662
"DB_Reg_E111TIC01_OP";"2024-01-29 14:14:20";10;1;45320593287,662
"DB_Reg_E111TIC01_SP";"2024-01-29 14:14:25";1,55;1;45320593346,1921
"DB_Reg_E111TIC01_PV";"2024-01-29 14:14:25";64,34248;1;45320593346,1921
"DB_Reg_E111TIC11_OP";"2024-01-29 14:14:25";0;1;45320593346,2037
"DB_Reg_E111TIC01_OP";"2024-01-29 14:14:25";10;1;45320593346,2037
"DB_Reg_E111TIC01_SP";"2024-01-29 14:14:30";1,55;1;45320593405,4514
"DB_Reg_E111TIC01_PV";"2024-01-29 14:14:30";64,3358;1;45320593405,463
"DB_Reg_E111TIC11_OP";"2024-01-29 14:14:30";0;1;45320593405,463
"DB_Reg_E111TIC01_OP";"2024-01-29 14:14:30";10;1;45320593405,463
"DB_Reg_E111TIC01_SP";"2024-01-29 14:14:35";1,55;1;45320593463,9931
"DB_Reg_E111TIC01_PV";"2024-01-29 14:14:35";64,33573;1;45320593463,9931
"DB_Reg_E111TIC11_OP";"2024-01-29 14:14:35";0;1;45320593464,0046
"DB_Reg_E111TIC01_OP";"2024-01-29 14:14:35";10;1;45320593464,0046
"DB_Reg_E111TIC01_SP";"2024-01-29 14:14:40";1,55;1;45320593522,5231
"DB_Reg_E111TIC01_PV";"2024-01-29 14:14:40";64,33593;1;45320593522,5231
"DB_Reg_E111TIC11_OP";"2024-01-29 14:14:40";0;1;45320593522,5347
"DB_Reg_E111TIC01_OP";"2024-01-29 14:14:40";10;1;45320593522,5347
"DB_Reg_E111TIC01_SP";"2024-01-29 14:14:45";1,55;1;45320593581,0648
"DB_Reg_E111TIC01_PV";"2024-01-29 14:14:45";64,33698;1;45320593581,0648
"DB_Reg_E111TIC11_OP";"2024-01-29 14:14:45";0;1;45320593581,0648
"DB_Reg_E111TIC01_OP";"2024-01-29 14:14:45";10;1;45320593581,0764
"DB_Reg_E111TIC01_SP";"2024-01-29 14:14:50";1,55;1;45320593639,5949
"DB_Reg_E111TIC01_PV";"2024-01-29 14:14:50";64,33292;1;45320593639,5949
"DB_Reg_E111TIC11_OP";"2024-01-29 14:14:50";0;1;45320593639,6065
"DB_Reg_E111TIC01_OP";"2024-01-29 14:14:50";10;1;45320593639,6065
"DB_Reg_E111TIC01_SP";"2024-01-29 14:14:56";1,55;1;45320593698,125
"DB_Reg_E111TIC01_PV";"2024-01-29 14:14:56";64,33152;1;45320593698,125
"DB_Reg_E111TIC11_OP";"2024-01-29 14:14:56";0;1;45320593698,125
"DB_Reg_E111TIC01_OP";"2024-01-29 14:14:56";10;1;45320593698,1366
"DB_Reg_E111TIC01_SP";"2024-01-29 14:15:01";1,55;1;45320593757,5579
"DB_Reg_E111TIC01_PV";"2024-01-29 14:15:01";64,33435;1;45320593757,5579
"DB_Reg_E111TIC11_OP";"2024-01-29 14:15:01";0;1;45320593757,5579
"DB_Reg_E111TIC01_OP";"2024-01-29 14:15:01";10;1;45320593757,5695
"DB_Reg_E111TIC01_SP";"2024-01-29 14:15:06";1,55;1;45320593816,088
"DB_Reg_E111TIC01_PV";"2024-01-29 14:15:06";64,33185;1;45320593816,088
"DB_Reg_E111TIC11_OP";"2024-01-29 14:15:06";0;1;45320593816,0995
"DB_Reg_E111TIC01_OP";"2024-01-29 14:15:06";10;1;45320593816,0995
"DB_Reg_E111TIC01_SP";"2024-01-29 14:15:11";1,55;1;45320593874,6296
"DB_Reg_E111TIC01_PV";"2024-01-29 14:15:11";64,3312;1;45320593874,6296
"DB_Reg_E111TIC11_OP";"2024-01-29 14:15:11";0;1;45320593874,6412
"DB_Reg_E111TIC01_OP";"2024-01-29 14:15:11";10;1;45320593874,6412
"DB_Reg_E111TIC01_SP";"2024-01-29 14:15:16";1,55;1;45320593933,1597
"DB_Reg_E111TIC01_PV";"2024-01-29 14:15:16";64,3321;1;45320593933,1597
"DB_Reg_E111TIC11_OP";"2024-01-29 14:15:16";0;1;45320593933,1597
"DB_Reg_E111TIC01_OP";"2024-01-29 14:15:16";10;1;45320593933,1713
"DB_Reg_E111TIC01_SP";"2024-01-29 14:15:21";1,55;1;45320593991,6898
"DB_Reg_E111TIC01_PV";"2024-01-29 14:15:21";64,3318;1;45320593991,6898
"DB_Reg_E111TIC11_OP";"2024-01-29 14:15:21";0;1;45320593991,7014
"DB_Reg_E111TIC01_OP";"2024-01-29 14:15:21";10;1;45320593991,7014
"DB_Reg_E111TIC01_SP";"2024-01-29 14:15:26";1,55;1;45320594050,2199
"DB_Reg_E111TIC01_PV";"2024-01-29 14:15:26";64,32835;1;45320594050,2199
"DB_Reg_E111TIC11_OP";"2024-01-29 14:15:26";0;1;45320594050,2315
"DB_Reg_E111TIC01_OP";"2024-01-29 14:15:26";10;1;45320594050,2315
"DB_Reg_E111TIC01_SP";"2024-01-29 14:15:31";1,55;1;45320594109,537
"DB_Reg_E111TIC01_PV";"2024-01-29 14:15:31";64,32355;1;45320594109,537
"DB_Reg_E111TIC11_OP";"2024-01-29 14:15:31";0;1;45320594109,5486
"DB_Reg_E111TIC01_OP";"2024-01-29 14:15:31";10;1;45320594109,5486
"DB_Reg_E111TIC01_SP";"2024-01-29 14:15:36";1,55;1;45320594168,0671
"DB_Reg_E111TIC01_PV";"2024-01-29 14:15:36";64,31913;1;45320594168,0671
"DB_Reg_E111TIC11_OP";"2024-01-29 14:15:36";0;1;45320594168,0787
"DB_Reg_E111TIC01_OP";"2024-01-29 14:15:36";10;1;45320594168,0787
"DB_Reg_E111TIC01_SP";"2024-01-29 14:15:41";1,55;1;45320594226,5972
"DB_Reg_E111TIC01_PV";"2024-01-29 14:15:41";64,31969;1;45320594226,5972
"DB_Reg_E111TIC11_OP";"2024-01-29 14:15:41";0;1;45320594226,5972
"DB_Reg_E111TIC01_OP";"2024-01-29 14:15:41";10;1;45320594226,6088
"DB_Reg_E111TIC01_SP";"2024-01-29 14:15:46";1,55;1;45320594285,1273
"DB_Reg_E111TIC01_PV";"2024-01-29 14:15:46";64,31991;1;45320594285,1273
"DB_Reg_E111TIC11_OP";"2024-01-29 14:15:46";0;1;45320594285,1389
"DB_Reg_E111TIC01_OP";"2024-01-29 14:15:46";10;1;45320594285,1389
"DB_Reg_E111TIC01_SP";"2024-01-29 14:15:51";1,55;1;45320594343,669
"DB_Reg_E111TIC01_PV";"2024-01-29 14:15:51";64,32439;1;45320594343,669
"DB_Reg_E111TIC11_OP";"2024-01-29 14:15:51";0;1;45320594343,6806
"DB_Reg_E111TIC01_OP";"2024-01-29 14:15:51";10;1;45320594343,6806
"DB_Reg_E111TIC01_SP";"2024-01-29 14:15:56";1,55;1;45320594402,1991
"DB_Reg_E111TIC01_PV";"2024-01-29 14:15:56";64,327;1;45320594402,1991
"DB_Reg_E111TIC11_OP";"2024-01-29 14:15:56";0;1;45320594402,1991
"DB_Reg_E111TIC01_OP";"2024-01-29 14:15:56";10;1;45320594402,2106
"DB_Reg_E111TIC01_SP";"2024-01-29 14:16:01";1,55;1;45320594461,5394
"DB_Reg_E111TIC01_PV";"2024-01-29 14:16:01";64,31844;1;45320594461,5394
"DB_Reg_E111TIC11_OP";"2024-01-29 14:16:01";0;1;45320594461,5394
"DB_Reg_E111TIC01_OP";"2024-01-29 14:16:01";10;1;45320594461,5509
"DB_Reg_E111TIC01_SP";"2024-01-29 14:16:07";1,55;1;45320594520,0694
"DB_Reg_E111TIC01_PV";"2024-01-29 14:16:07";64,32332;1;45320594520,0694
"DB_Reg_E111TIC11_OP";"2024-01-29 14:16:07";0;1;45320594520,081
"DB_Reg_E111TIC01_OP";"2024-01-29 14:16:07";10;1;45320594520,081
"DB_Reg_E111TIC01_SP";"2024-01-29 14:16:12";1,55;1;45320594578,6111
"DB_Reg_E111TIC01_PV";"2024-01-29 14:16:12";64,32436;1;45320594578,6111
"DB_Reg_E111TIC11_OP";"2024-01-29 14:16:12";0;1;45320594578,6111
"DB_Reg_E111TIC01_OP";"2024-01-29 14:16:12";10;1;45320594578,6227
"DB_Reg_E111TIC01_SP";"2024-01-29 14:16:17";1,55;1;45320594637,1528
"DB_Reg_E111TIC01_PV";"2024-01-29 14:16:17";64,33122;1;45320594637,1528
"DB_Reg_E111TIC11_OP";"2024-01-29 14:16:17";0;1;45320594637,1644
"DB_Reg_E111TIC01_OP";"2024-01-29 14:16:17";10;1;45320594637,1644
"DB_Reg_E111TIC01_SP";"2024-01-29 14:16:22";1,55;1;45320594695,6829
"DB_Reg_E111TIC01_PV";"2024-01-29 14:16:22";64,32851;1;45320594695,6829
"DB_Reg_E111TIC11_OP";"2024-01-29 14:16:22";0;1;45320594695,6944
"DB_Reg_E111TIC01_OP";"2024-01-29 14:16:22";10;1;45320594695,6944
"DB_Reg_E111TIC01_SP";"2024-01-29 14:16:27";1,55;1;45320594754,213
"DB_Reg_E111TIC01_PV";"2024-01-29 14:16:27";64,33895;1;45320594754,213
"DB_Reg_E111TIC11_OP";"2024-01-29 14:16:27";0;1;45320594754,213
"DB_Reg_E111TIC01_OP";"2024-01-29 14:16:27";10;1;45320594754,2245
"DB_Reg_E111TIC01_SP";"2024-01-29 14:16:32";1,55;1;45320594813,5301
"DB_Reg_E111TIC01_PV";"2024-01-29 14:16:32";64,33862;1;45320594813,5301
"DB_Reg_E111TIC11_OP";"2024-01-29 14:16:32";0;1;45320594813,5417
"DB_Reg_E111TIC01_OP";"2024-01-29 14:16:32";10;1;45320594813,5417
"DB_Reg_E111TIC01_SP";"2024-01-29 14:16:37";1,55;1;45320594872,0602
"DB_Reg_E111TIC01_PV";"2024-01-29 14:16:37";64,34122;1;45320594872,0602
"DB_Reg_E111TIC11_OP";"2024-01-29 14:16:37";0;1;45320594872,0602
"DB_Reg_E111TIC01_OP";"2024-01-29 14:16:37";10;1;45320594872,0718
"DB_Reg_E111TIC01_SP";"2024-01-29 14:16:42";1,55;1;45320594930,5903
"DB_Reg_E111TIC01_PV";"2024-01-29 14:16:42";64,34498;1;45320594930,5903
"DB_Reg_E111TIC11_OP";"2024-01-29 14:16:42";0;1;45320594930,6019
"DB_Reg_E111TIC01_OP";"2024-01-29 14:16:42";10;1;45320594930,6019
"DB_Reg_E111TIC01_SP";"2024-01-29 14:16:47";1,55;1;45320594989,1204
"DB_Reg_E111TIC01_PV";"2024-01-29 14:16:47";64,35366;1;45320594989,1204
"DB_Reg_E111TIC11_OP";"2024-01-29 14:16:47";0;1;45320594989,1319
"DB_Reg_E111TIC01_OP";"2024-01-29 14:16:47";10;1;45320594989,1319
"DB_Reg_E111TIC01_SP";"2024-01-29 14:16:52";1,55;1;45320595047,662
"DB_Reg_E111TIC01_PV";"2024-01-29 14:16:52";64,35747;1;45320595047,662
"DB_Reg_E111TIC11_OP";"2024-01-29 14:16:52";0;1;45320595047,662
"DB_Reg_E111TIC01_OP";"2024-01-29 14:16:52";10;1;45320595047,6736
"DB_Reg_E111TIC01_SP";"2024-01-29 14:16:57";1,55;1;45320595106,1921
"DB_Reg_E111TIC01_PV";"2024-01-29 14:16:57";64,36385;1;45320595106,1921
"DB_Reg_E111TIC11_OP";"2024-01-29 14:16:57";0;1;45320595106,2037
"DB_Reg_E111TIC01_OP";"2024-01-29 14:16:57";10;1;45320595106,2153
"DB_Reg_E111TIC01_SP";"2024-01-29 14:17:02";1,55;1;45320595165,4398
"DB_Reg_E111TIC01_PV";"2024-01-29 14:17:02";64,36837;1;45320595165,4398
"DB_Reg_E111TIC11_OP";"2024-01-29 14:17:02";0;1;45320595165,4514
"DB_Reg_E111TIC01_OP";"2024-01-29 14:17:02";10;1;45320595165,4514
"DB_Reg_E111TIC01_SP";"2024-01-29 14:17:07";1,55;1;45320595223,9699
"DB_Reg_E111TIC01_PV";"2024-01-29 14:17:07";64,37958;1;45320595223,9699
"DB_Reg_E111TIC11_OP";"2024-01-29 14:17:07";0;1;45320595223,9815
"DB_Reg_E111TIC01_OP";"2024-01-29 14:17:07";10;1;45320595223,9815
"DB_Reg_E111TIC01_SP";"2024-01-29 14:17:12";1,55;1;45320595282,5
"DB_Reg_E111TIC01_PV";"2024-01-29 14:17:12";64,37913;1;45320595282,5
"DB_Reg_E111TIC11_OP";"2024-01-29 14:17:12";0;1;45320595282,5
"DB_Reg_E111TIC01_OP";"2024-01-29 14:17:12";10;1;45320595282,5116
"DB_Reg_E111TIC01_SP";"2024-01-29 14:17:17";1,55;1;45320595341,0301
"DB_Reg_E111TIC01_PV";"2024-01-29 14:17:17";64,38242;1;45320595341,0301
"DB_Reg_E111TIC11_OP";"2024-01-29 14:17:17";0;1;45320595341,0417
"DB_Reg_E111TIC01_OP";"2024-01-29 14:17:17";10;1;45320595341,0417
"DB_Reg_E111TIC01_SP";"2024-01-29 14:17:23";1,55;1;45320595399,5602
"DB_Reg_E111TIC01_PV";"2024-01-29 14:17:23";64,38898;1;45320595399,5602
"DB_Reg_E111TIC11_OP";"2024-01-29 14:17:23";0;1;45320595399,5602
"DB_Reg_E111TIC01_OP";"2024-01-29 14:17:23";10;1;45320595399,5718
"DB_Reg_E111TIC01_SP";"2024-01-29 14:17:28";1,55;1;45320595458,0903
"DB_Reg_E111TIC01_PV";"2024-01-29 14:17:28";64,38676;1;45320595458,0903
"DB_Reg_E111TIC11_OP";"2024-01-29 14:17:28";0;1;45320595458,1019
"DB_Reg_E111TIC01_OP";"2024-01-29 14:17:28";10;1;45320595458,1019
"DB_Reg_E111TIC01_SP";"2024-01-29 14:17:33";1,55;1;45320595517,4884
"DB_Reg_E111TIC01_PV";"2024-01-29 14:17:33";64,38906;1;45320595517,4884
"DB_Reg_E111TIC11_OP";"2024-01-29 14:17:33";0;1;45320595517,5
"DB_Reg_E111TIC01_OP";"2024-01-29 14:17:33";10;1;45320595517,5
"DB_Reg_E111TIC01_SP";"2024-01-29 14:17:38";1,55;1;45320595576,0301
"DB_Reg_E111TIC01_PV";"2024-01-29 14:17:38";64,39049;1;45320595576,0301
"DB_Reg_E111TIC11_OP";"2024-01-29 14:17:38";0;1;45320595576,0301
"DB_Reg_E111TIC01_OP";"2024-01-29 14:17:38";10;1;45320595576,0417
"DB_Reg_E111TIC01_SP";"2024-01-29 14:17:43";1,55;1;45320595634,5602
"DB_Reg_E111TIC01_PV";"2024-01-29 14:17:43";64,38879;1;45320595634,5602
"DB_Reg_E111TIC11_OP";"2024-01-29 14:17:43";0;1;45320595634,5718
"DB_Reg_E111TIC01_OP";"2024-01-29 14:17:43";10;1;45320595634,5718
"DB_Reg_E111TIC01_SP";"2024-01-29 14:17:48";1,55;1;45320595693,0903
"DB_Reg_E111TIC01_PV";"2024-01-29 14:17:48";64,38927;1;45320595693,0903
"DB_Reg_E111TIC11_OP";"2024-01-29 14:17:48";0;1;45320595693,1019
"DB_Reg_E111TIC01_OP";"2024-01-29 14:17:48";10;1;45320595693,1019
"DB_Reg_E111TIC01_SP";"2024-01-29 14:17:53";1,55;1;45320595751,6204
"DB_Reg_E111TIC01_PV";"2024-01-29 14:17:53";64,38668;1;45320595751,6204
"DB_Reg_E111TIC11_OP";"2024-01-29 14:17:53";0;1;45320595751,632
"DB_Reg_E111TIC01_OP";"2024-01-29 14:17:53";10;1;45320595751,632
"DB_Reg_E111TIC01_SP";"2024-01-29 14:17:58";1,55;1;45320595810,1505
"DB_Reg_E111TIC01_PV";"2024-01-29 14:17:58";64,3868;1;45320595810,1505
