"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"DB_Reg_E111TIC12_PV";"2024-01-29 14:13:14";71,88885;1;45320592525,1505
"DB_Reg_E111TIC11_PV";"2024-01-29 14:13:19";11,6;1;45320592583,669
"DB_Reg_E111TIC11_SP";"2024-01-29 14:13:19";65,42739;1;45320592583,6806
"DB_Reg_E111TIC12_OP";"2024-01-29 14:13:19";23,91051;1;45320592583,6806
"DB_Reg_E111TIC12_PV";"2024-01-29 14:13:19";70,48174;1;45320592583,6806
"DB_Reg_E111TIC11_PV";"2024-01-29 14:13:24";11,69029;1;45320592642,1991
"DB_Reg_E111TIC11_SP";"2024-01-29 14:13:24";65,4301;1;45320592642,1991
"DB_Reg_E111TIC12_OP";"2024-01-29 14:13:24";20,92943;1;45320592642,1991
"DB_Reg_E111TIC12_PV";"2024-01-29 14:13:24";70,14442;1;45320592642,2106
"DB_Reg_E111TIC11_PV";"2024-01-29 14:13:29";11,69968;1;45320592701,3079
"DB_Reg_E111TIC11_SP";"2024-01-29 14:13:29";65,427;1;45320592701,3079
"DB_Reg_E111TIC12_OP";"2024-01-29 14:13:29";19,38141;1;45320592701,3194
"DB_Reg_E111TIC12_PV";"2024-01-29 14:13:29";68,99298;1;45320592701,3194
"DB_Reg_E111TIC11_PV";"2024-01-29 14:13:34";11,69999;1;45320592759,8495
"DB_Reg_E111TIC11_SP";"2024-01-29 14:13:34";65,42944;1;45320592759,8495
"DB_Reg_E111TIC12_OP";"2024-01-29 14:13:34";19,75883;1;45320592759,8495
"DB_Reg_E111TIC12_PV";"2024-01-29 14:13:34";67,03044;1;45320592759,8611
"DB_Reg_E111TIC11_PV";"2024-01-29 14:13:40";11,7;1;45320592818,3796
"DB_Reg_E111TIC11_SP";"2024-01-29 14:13:40";65,42677;1;45320592818,3912
"DB_Reg_E111TIC12_OP";"2024-01-29 14:13:40";19,67301;1;45320592818,3912
"DB_Reg_E111TIC12_PV";"2024-01-29 14:13:40";66,43112;1;45320592818,3912
"DB_Reg_E111TIC11_PV";"2024-01-29 14:13:45";11,7;1;45320592876,9097
"DB_Reg_E111TIC11_SP";"2024-01-29 14:13:45";65,42448;1;45320592876,9213
"DB_Reg_E111TIC12_OP";"2024-01-29 14:13:45";17,68721;1;45320592876,9213
"DB_Reg_E111TIC12_PV";"2024-01-29 14:13:45";67,33616;1;45320592876,9213
"DB_Reg_E111TIC11_PV";"2024-01-29 14:13:50";11,7;1;45320592935,4398
"DB_Reg_E111TIC11_SP";"2024-01-29 14:13:50";65,42474;1;45320592935,4398
"DB_Reg_E111TIC12_OP";"2024-01-29 14:13:50";16,72568;1;45320592935,4514
"DB_Reg_E111TIC12_PV";"2024-01-29 14:13:50";66,99066;1;45320592935,4514
"DB_Reg_E111TIC11_PV";"2024-01-29 14:13:55";11,7;1;45320592993,9699
"DB_Reg_E111TIC11_SP";"2024-01-29 14:13:55";65,42361;1;45320592993,9699
"DB_Reg_E111TIC12_OP";"2024-01-29 14:13:55";20,98278;1;45320592993,9699
"DB_Reg_E111TIC12_PV";"2024-01-29 14:13:55";63,20682;1;45320592993,9815
"DB_Reg_E111TIC11_PV";"2024-01-29 14:14:00";11,7;1;45320593053,5185
"DB_Reg_E111TIC11_SP";"2024-01-29 14:14:00";65,41774;1;45320593053,5185
"DB_Reg_E111TIC12_OP";"2024-01-29 14:14:00";26,34851;1;45320593053,5301
"DB_Reg_E111TIC12_PV";"2024-01-29 14:14:00";60,78795;1;45320593053,5301
"DB_Reg_E111TIC11_PV";"2024-01-29 14:14:05";11,7;1;45320593112,0486
"DB_Reg_E111TIC11_SP";"2024-01-29 14:14:05";65,42097;1;45320593112,0602
"DB_Reg_E111TIC12_OP";"2024-01-29 14:14:05";27,22205;1;45320593112,0602
"DB_Reg_E111TIC12_PV";"2024-01-29 14:14:05";62,26046;1;45320593112,0602
"DB_Reg_E111TIC11_PV";"2024-01-29 14:14:10";11,7;1;45320593170,5787
"DB_Reg_E111TIC11_SP";"2024-01-29 14:14:10";65,4157;1;45320593170,5787
"DB_Reg_E111TIC12_OP";"2024-01-29 14:14:10";28,98674;1;45320593170,5903
"DB_Reg_E111TIC12_PV";"2024-01-29 14:14:10";62,52681;1;45320593170,5903
"DB_Reg_E111TIC11_PV";"2024-01-29 14:14:15";11,60529;1;45320593229,1204
"DB_Reg_E111TIC11_SP";"2024-01-29 14:14:15";65,41106;1;45320593229,1319
"DB_Reg_E111TIC12_OP";"2024-01-29 14:14:15";29,8004;1;45320593229,1319
"DB_Reg_E111TIC12_PV";"2024-01-29 14:14:15";63,20201;1;45320593229,1319
"DB_Reg_E111TIC11_PV";"2024-01-29 14:14:20";11,60018;1;45320593287,662
"DB_Reg_E111TIC11_SP";"2024-01-29 14:14:20";65,40987;1;45320593287,6736
"DB_Reg_E111TIC12_OP";"2024-01-29 14:14:20";30,0424;1;45320593287,6736
"DB_Reg_E111TIC12_PV";"2024-01-29 14:14:20";64,21997;1;45320593287,6736
"DB_Reg_E111TIC11_PV";"2024-01-29 14:14:25";11,6;1;45320593346,2037
"DB_Reg_E111TIC11_SP";"2024-01-29 14:14:25";65,40446;1;45320593346,2037
"DB_Reg_E111TIC12_OP";"2024-01-29 14:14:25";23,56367;1;45320593346,2153
"DB_Reg_E111TIC12_PV";"2024-01-29 14:14:25";69,28667;1;45320593346,2153
"DB_Reg_E111TIC11_PV";"2024-01-29 14:14:30";11,6;1;45320593405,4745
"DB_Reg_E111TIC11_SP";"2024-01-29 14:14:30";65,4033;1;45320593405,4745
"DB_Reg_E111TIC12_OP";"2024-01-29 14:14:30";18,31969;1;45320593405,4745
"DB_Reg_E111TIC12_PV";"2024-01-29 14:14:30";70,25542;1;45320593405,4745
"DB_Reg_E111TIC11_PV";"2024-01-29 14:14:35";11,6;1;45320593464,0046
"DB_Reg_E111TIC11_SP";"2024-01-29 14:14:35";65,396;1;45320593464,0046
"DB_Reg_E111TIC12_OP";"2024-01-29 14:14:35";17,35139;1;45320593464,0162
"DB_Reg_E111TIC12_PV";"2024-01-29 14:14:35";68,6567;1;45320593464,0162
"DB_Reg_E111TIC11_PV";"2024-01-29 14:14:40";11,6;1;45320593522,5463
"DB_Reg_E111TIC11_SP";"2024-01-29 14:14:40";65,39412;1;45320593522,5463
"DB_Reg_E111TIC12_OP";"2024-01-29 14:14:40";17,88479;1;45320593522,5463
"DB_Reg_E111TIC12_PV";"2024-01-29 14:14:40";66,72774;1;45320593522,5463
"DB_Reg_E111TIC11_PV";"2024-01-29 14:14:45";11,6;1;45320593581,0764
"DB_Reg_E111TIC11_SP";"2024-01-29 14:14:45";65,38663;1;45320593581,0764
"DB_Reg_E111TIC12_OP";"2024-01-29 14:14:45";16,17542;1;45320593581,088
"DB_Reg_E111TIC12_PV";"2024-01-29 14:14:45";67,34795;1;45320593581,088
"DB_Reg_E111TIC11_PV";"2024-01-29 14:14:50";11,6;1;45320593639,6065
"DB_Reg_E111TIC11_SP";"2024-01-29 14:14:50";65,38612;1;45320593639,6065
"DB_Reg_E111TIC12_OP";"2024-01-29 14:14:50";14,46807;1;45320593639,6181
"DB_Reg_E111TIC12_PV";"2024-01-29 14:14:50";67,56195;1;45320593639,6181
"DB_Reg_E111TIC11_PV";"2024-01-29 14:14:56";11,6;1;45320593698,1366
"DB_Reg_E111TIC11_SP";"2024-01-29 14:14:56";65,37809;1;45320593698,1366
"DB_Reg_E111TIC12_OP";"2024-01-29 14:14:56";13,96517;1;45320593698,1366
"DB_Reg_E111TIC12_PV";"2024-01-29 14:14:56";66,81784;1;45320593698,1481
"DB_Reg_E111TIC11_PV";"2024-01-29 14:15:01";11,6;1;45320593757,5695
"DB_Reg_E111TIC11_SP";"2024-01-29 14:15:01";65,37271;1;45320593757,5695
"DB_Reg_E111TIC12_OP";"2024-01-29 14:15:01";15,26052;1;45320593757,581
"DB_Reg_E111TIC12_PV";"2024-01-29 14:15:01";65,27522;1;45320593757,581
"DB_Reg_E111TIC11_PV";"2024-01-29 14:15:06";11,66966;1;45320593816,0995
"DB_Reg_E111TIC11_SP";"2024-01-29 14:15:06";65,37174;1;45320593816,1111
"DB_Reg_E111TIC12_OP";"2024-01-29 14:15:06";16,27681;1;45320593816,1111
"DB_Reg_E111TIC12_PV";"2024-01-29 14:15:06";64,68114;1;45320593816,1111
"DB_Reg_E111TIC11_PV";"2024-01-29 14:15:11";11,699;1;45320593874,6412
"DB_Reg_E111TIC11_SP";"2024-01-29 14:15:11";65,36781;1;45320593874,6412
"DB_Reg_E111TIC12_OP";"2024-01-29 14:15:11";15,0565;1;45320593874,6528
"DB_Reg_E111TIC12_PV";"2024-01-29 14:15:11";65,87794;1;45320593874,6528
"DB_Reg_E111TIC11_PV";"2024-01-29 14:15:16";11,69997;1;45320593933,1713
"DB_Reg_E111TIC11_SP";"2024-01-29 14:15:16";65,36363;1;45320593933,1713
"DB_Reg_E111TIC12_OP";"2024-01-29 14:15:16";14,09192;1;45320593933,1713
"DB_Reg_E111TIC12_PV";"2024-01-29 14:15:16";66,27557;1;45320593933,1829
"DB_Reg_E111TIC11_PV";"2024-01-29 14:15:21";11,7;1;45320593991,7014
"DB_Reg_E111TIC11_SP";"2024-01-29 14:15:21";65,3556;1;45320593991,7014
"DB_Reg_E111TIC12_OP";"2024-01-29 14:15:21";14,20634;1;45320593991,713
"DB_Reg_E111TIC12_PV";"2024-01-29 14:15:21";65,72866;1;45320593991,713
"DB_Reg_E111TIC11_PV";"2024-01-29 14:15:26";11,76637;1;45320594050,2315
"DB_Reg_E111TIC11_SP";"2024-01-29 14:15:26";65,34605;1;45320594050,2315
"DB_Reg_E111TIC12_OP";"2024-01-29 14:15:26";13,12113;1;45320594050,2431
"DB_Reg_E111TIC12_PV";"2024-01-29 14:15:26";66,36827;1;45320594050,2431
"DB_Reg_E111TIC11_PV";"2024-01-29 14:15:31";11,79889;1;45320594109,5486
"DB_Reg_E111TIC11_SP";"2024-01-29 14:15:31";65,34441;1;45320594109,5486
"DB_Reg_E111TIC12_OP";"2024-01-29 14:15:31";11,75715;1;45320594109,5602
"DB_Reg_E111TIC12_PV";"2024-01-29 14:15:31";66,77982;1;45320594109,5602
"DB_Reg_E111TIC11_PV";"2024-01-29 14:15:36";11,79996;1;45320594168,0787
"DB_Reg_E111TIC11_SP";"2024-01-29 14:15:36";65,33629;1;45320594168,0787
"DB_Reg_E111TIC12_OP";"2024-01-29 14:15:36";11,59991;1;45320594168,0903
"DB_Reg_E111TIC12_PV";"2024-01-29 14:15:36";66,19917;1;45320594168,0903
"DB_Reg_E111TIC11_PV";"2024-01-29 14:15:41";11,865;1;45320594226,6088
"DB_Reg_E111TIC11_SP";"2024-01-29 14:15:41";65,32684;1;45320594226,6088
"DB_Reg_E111TIC12_OP";"2024-01-29 14:15:41";12,94385;1;45320594226,6204
"DB_Reg_E111TIC12_PV";"2024-01-29 14:15:41";64,7913;1;45320594226,6204
"DB_Reg_E111TIC11_PV";"2024-01-29 14:15:46";11,89883;1;45320594285,1389
"DB_Reg_E111TIC11_SP";"2024-01-29 14:15:46";65,32712;1;45320594285,1389
"DB_Reg_E111TIC12_OP";"2024-01-29 14:15:46";14,62308;1;45320594285,1505
"DB_Reg_E111TIC12_PV";"2024-01-29 14:15:46";63,94909;1;45320594285,1505
"DB_Reg_E111TIC11_PV";"2024-01-29 14:15:51";11,89996;1;45320594343,6806
"DB_Reg_E111TIC11_SP";"2024-01-29 14:15:51";65,32274;1;45320594343,6806
"DB_Reg_E111TIC12_OP";"2024-01-29 14:15:51";14,35937;1;45320594343,6921
"DB_Reg_E111TIC12_PV";"2024-01-29 14:15:51";64,84026;1;45320594343,6921
"DB_Reg_E111TIC11_PV";"2024-01-29 14:15:56";11,9;1;45320594402,2106
"DB_Reg_E111TIC11_SP";"2024-01-29 14:15:56";65,32362;1;45320594402,2106
"DB_Reg_E111TIC12_OP";"2024-01-29 14:15:56";12,67464;1;45320594402,2222
"DB_Reg_E111TIC12_PV";"2024-01-29 14:15:56";66,19175;1;45320594402,2222
"DB_Reg_E111TIC11_PV";"2024-01-29 14:16:01";11,9;1;45320594461,5509
"DB_Reg_E111TIC11_SP";"2024-01-29 14:16:01";65,32256;1;45320594461,5509
"DB_Reg_E111TIC12_OP";"2024-01-29 14:16:01";11,86543;1;45320594461,5509
"DB_Reg_E111TIC12_PV";"2024-01-29 14:16:01";66,30294;1;45320594461,5509
"DB_Reg_E111TIC11_PV";"2024-01-29 14:16:07";11,9;1;45320594520,081
"DB_Reg_E111TIC11_SP";"2024-01-29 14:16:07";65,31757;1;45320594520,081
"DB_Reg_E111TIC12_OP";"2024-01-29 14:16:07";12,30865;1;45320594520,0926
"DB_Reg_E111TIC12_PV";"2024-01-29 14:16:07";65,50205;1;45320594520,0926
"DB_Reg_E111TIC11_PV";"2024-01-29 14:16:12";11,9;1;45320594578,6227
"DB_Reg_E111TIC11_SP";"2024-01-29 14:16:12";65,31335;1;45320594578,6227
