Id,Time,DB_Reg_E111TIC11_PV,DB_Reg_E111TIC11_SP,DB_Reg_E111TIC12_OP,DB_Reg_E111TIC12_PV
79,2024-01-29 14:18:39,12.2,65.30219,9.692692,65.36768
80,2024-01-29 14:18:44,12.2,65.30196,9.899541,65.2068
81,2024-01-29 14:18:49,12.2,65.30024,9.759812,65.36332
82,2024-01-29 14:18:54,12.2,65.30707,9.194198,65.68913
83,2024-01-29 14:18:59,12.2,65.3028,9.830158,65.08068
84,2024-01-29 14:19:04,12.2,65.30451,9.583289,65.39174
85,2024-01-29 14:19:09,12.10408,65.29976,9.165647,65.59466
86,2024-01-29 14:19:14,12.10014,65.29994,9.109987,65.53306
87,2024-01-29 14:19:19,12.19085,65.29842,8.754539,65.64017
88,2024-01-29 14:19:24,12.21648,65.29466,9.183075,65.10256
89,2024-01-29 14:19:29,12.37454,65.30182,10.14328,64.57714
90,2024-01-29 14:19:34,12.47904,65.29868,9.750186,65.19267
91,2024-01-29 14:19:39,12.4993,65.28859,10.37212,64.78673
92,2024-01-29 14:19:45,12.59111,65.29866,9.958694,65.34793
93,2024-01-29 14:19:50,12.61181,65.29388,9.490534,65.59566
94,2024-01-29 14:19:55,12.69709,65.29436,10.03197,65.08564
95,2024-01-29 14:20:00,12.67123,65.29398,9.887095,65.32848
96,2024-01-29 14:20:05,12.60236,65.29185,8.603353,66.20361
97,2024-01-29 14:20:10,12.51501,65.29222,7.599339,66.43088
98,2024-01-29 14:20:15,12.49475,65.29227,8.10325,65.54909
99,2024-01-29 14:20:20,12.40316,65.29349,8.817105,64.92741
100,2024-01-29 14:20:25,12.40011,65.29405,8.814415,65.15015
101,2024-01-29 14:20:30,12.4,65.29313,8.141629,65.6606
102,2024-01-29 14:20:35,12.4,65.29011,8.051927,65.47822
103,2024-01-29 14:20:40,12.4,65.29164,8.14858,65.32391
104,2024-01-29 14:20:45,12.4,65.28831,8.201031,65.26479
105,2024-01-29 14:20:50,12.41339,65.28818,8.317202,65.20222
106,2024-01-29 14:20:55,12.49713,65.28649,8.985268,64.72751
107,2024-01-29 14:21:01,12.42091,65.28905,9.187361,64.92959
108,2024-01-29 14:21:06,12.40069,65.29073,8.45547,65.58862
109,2024-01-29 14:21:11,12.40003,65.28715,7.855108,65.86432
110,2024-01-29 14:21:16,12.43013,65.28711,7.41627,65.8708
111,2024-01-29 14:21:21,12.40809,65.2857,7.654624,65.42927
112,2024-01-29 14:21:26,12.49359,65.28543,8.171144,65.00031
113,2024-01-29 14:21:31,12.49979,65.28384,8.266807,65.10996
114,2024-01-29 14:21:36,12.58451,65.28606,7.716864,65.55785
115,2024-01-29 14:21:41,12.69176,65.28542,7.341798,65.68766
116,2024-01-29 14:21:46,12.69973,65.28619,7.191365,65.58354
117,2024-01-29 14:21:51,12.86373,65.28209,7.302514,65.3699
118,2024-01-29 14:21:56,12.96787,65.2896,7.75699,64.95782
119,2024-01-29 14:22:01,13.0063,65.28564,24.52126,53.23469
120,2024-01-29 14:22:07,13.09687,65.28786,31.66396,54.23565
121,2024-01-29 14:22:12,13.09989,65.28742,20.95998,67.12401
122,2024-01-29 14:22:17,13.15632,65.28557,13.96436,70.55986
123,2024-01-29 14:22:22,13.10253,65.28407,12.42285,69.2222
124,2024-01-29 14:22:27,13.10009,65.28332,10.57457,68.64925
125,2024-01-29 14:22:32,13.1,65.28136,9.183002,68.02782
126,2024-01-29 14:22:37,13.00396,65.28252,8.463822,67.23283
127,2024-01-29 14:22:42,12.91599,65.28403,8.072123,66.59516
128,2024-01-29 14:22:47,12.82654,65.28271,8.731771,65.51793
129,2024-01-29 14:22:52,12.80089,65.27952,8.849306,65.387
130,2024-01-29 14:22:57,12.72102,65.27377,8.103119,65.84019
131,2024-01-29 14:23:03,12.70036,65.27086,7.533763,65.87402
132,2024-01-29 14:23:08,12.7,65.27058,7.055769,65.94614
133,2024-01-29 14:23:13,12.76586,65.27429,7.292574,65.41993
134,2024-01-29 14:23:18,12.79886,65.27214,7.531539,65.20737
135,2024-01-29 14:23:23,12.79996,65.26972,7.636653,65.17104
136,2024-01-29 14:23:28,12.8,65.26787,7.12256,65.56748
137,2024-01-29 14:23:33,12.70671,65.26953,6.716291,65.69556
138,2024-01-29 14:23:38,12.70022,65.26765,6.382985,65.73058
139,2024-01-29 14:23:43,12.7,65.25926,6.379174,65.49292
140,2024-01-29 14:23:48,12.78806,65.26231,6.188253,65.49402
141,2024-01-29 14:23:53,12.83495,65.26267,6.177381,65.40311
142,2024-01-29 14:23:58,12.89785,65.259,6.3866,65.15518
143,2024-01-29 14:24:03,12.89993,65.26129,6.752101,64.98654
144,2024-01-29 14:24:08,12.9141,65.26102,6.875732,65.04317
145,2024-01-29 14:24:14,12.99712,65.26186,6.906039,65.11808
146,2024-01-29 14:24:19,13.08078,65.25887,7.342607,64.82082
147,2024-01-29 14:24:24,13.09936,65.249,7.918742,64.7362
148,2024-01-29 14:24:29,13.09998,65.25323,7.141068,65.49296
149,2024-01-29 14:24:34,13.1,65.24843,6.589755,65.74109
150,2024-01-29 14:24:39,13.1,65.24767,6.230155,65.75291
151,2024-01-29 14:24:44,13.1,65.24883,5.894935,65.7486
152,2024-01-29 14:24:49,13.18992,65.24451,8.383429,63.97128
153,2024-01-29 14:24:54,13.19967,65.24764,7.136416,65.37311
154,2024-01-29 14:24:59,13.10059,65.2401,7.112,65.36942
155,2024-01-29 14:25:04,12.92747,65.24261,6.43462,65.76505
156,2024-01-29 14:25:09,12.90091,65.24114,6.475392,65.49527
157,2024-01-29 14:25:14,12.98043,65.24339,6.663337,65.18454
158,2024-01-29 14:25:19,12.91698,65.24292,6.908185,65.0723
159,2024-01-29 14:25:24,12.90481,65.24866,7.27408,64.9752
160,2024-01-29 14:25:30,12.99684,65.24414,7.433219,64.86098
161,2024-01-29 14:25:35,13.12613,65.24703,7.660736,65.04905
162,2024-01-29 14:25:40,13.19754,65.2448,7.122921,65.47895
163,2024-01-29 14:25:45,13.19992,65.24612,7.117837,65.37121
164,2024-01-29 14:25:50,13.05464,65.24685,7.189847,65.19933
165,2024-01-29 14:25:55,13.0018,65.24306,7.644873,64.9924
166,2024-01-29 14:26:00,13.00006,65.24422,10.28228,63.38299
167,2024-01-29 14:26:05,12.85459,65.24541,12.45385,62.87493
168,2024-01-29 14:26:10,12.8802,65.2429,14.89152,62.1238
169,2024-01-29 14:26:15,12.89934,65.23901,16.314,62.92183
170,2024-01-29 14:26:20,12.99551,65.23856,15.24233,64.43095
171,2024-01-29 14:26:25,12.99985,65.23998,17.09062,63.69633
172,2024-01-29 14:26:30,13.02833,65.23969,21.02288,61.41405
173,2024-01-29 14:26:36,13.09762,65.23706,18.78943,65.26979
174,2024-01-29 14:26:41,13.09992,65.24126,23.38996,62.57317
175,2024-01-29 14:26:46,13.1,65.23903,22.76125,64.16539
176,2024-01-29 14:26:51,13.05733,65.23642,27.33477,61.50774
177,2024-01-29 14:26:56,13.00191,65.23041,27.46537,63.97364
178,2024-01-29 14:27:01,13.00006,65.22482,28.56399,63.89424
179,2024-01-29 14:27:06,13.0,65.2263,30.18513,63.75819
180,2024-01-29 14:27:11,13.09346,65.22702,32.41096,62.37338
181,2024-01-29 14:27:16,13.15384,65.22402,31.92362,64.06266
182,2024-01-29 14:27:21,13.19848,65.22367,41.02796,57.85253
183,2024-01-29 14:27:26,13.19995,65.22301,25.7882,71.62569
184,2024-01-29 14:27:31,13.2,65.2229,25.07296,69.03241
185,2024-01-29 14:27:36,13.2,65.22015,20.33154,70.79847
186,2024-01-29 14:27:41,13.2,65.21838,22.22695,66.41653
187,2024-01-29 14:27:46,13.29542,65.21693,17.72301,69.03559
188,2024-01-29 14:27:52,13.29985,65.21416,15.78465,68.56024
189,2024-01-29 14:27:57,13.3,65.21291,15.76992,66.81767
190,2024-01-29 14:28:02,13.22913,65.21151,14.90661,66.63657
191,2024-01-29 14:28:07,13.20095,65.20647,14.04772,66.42776
192,2024-01-29 14:28:12,13.20004,65.20533,18.51987,62.36608
193,2024-01-29 14:28:17,13.2776,65.2047,20.7824,61.73709
194,2024-01-29 14:28:22,13.29926,65.20229,16.42147,66.81182
195,2024-01-29 14:28:27,13.29998,65.19582,11.19988,69.33499
196,2024-01-29 14:28:32,13.3,65.19439,15.2066,64.88016
197,2024-01-29 14:28:37,13.39447,65.19328,14.54942,65.28611
198,2024-01-29 14:28:42,13.48754,65.1909,13.78986,65.79263
199,2024-01-29 14:28:47,13.5628,65.19208,15.37894,64.80782
200,2024-01-29 14:28:52,13.51431,65.18882,11.83985,67.39774
201,2024-01-29 14:28:57,13.50047,65.18877,10.56725,67.21811
202,2024-01-29 14:29:03,13.50001,65.18544,9.117238,67.20628
203,2024-01-29 14:29:08,13.5,65.18327,8.854203,66.39104
204,2024-01-29 14:29:13,13.5,65.18452,11.62128,63.70538
205,2024-01-29 14:29:18,13.5,65.18768,10.22766,65.44186
206,2024-01-29 14:29:23,13.5,65.17783,10.34785,65.33824
207,2024-01-29 14:29:28,13.5,65.17133,8.172622,66.68088
208,2024-01-29 14:29:33,13.5,65.18404,8.664203,65.69649
209,2024-01-29 14:29:38,13.59375,65.18062,7.343684,66.38586
210,2024-01-29 14:29:43,13.5998,65.18056,6.742977,66.17534
211,2024-01-29 14:29:48,13.6,65.17799,7.374558,65.28996
212,2024-01-29 14:29:53,13.6,65.17948,8.035955,64.80463
213,2024-01-29 14:29:58,13.6,65.17503,8.514985,64.70676
214,2024-01-29 14:30:03,13.6,65.17845,10.10934,63.78584
215,2024-01-29 14:30:08,13.6,65.1751,8.81056,65.35894
216,2024-01-29 14:30:13,13.50857,65.17696,7.482012,66.17075
217,2024-01-29 14:30:19,13.50028,65.18043,7.420806,65.70517
218,2024-01-29 14:30:24,13.5,65.18161,6.895164,65.84769
219,2024-01-29 14:30:29,13.40482,65.1835,5.541732,66.36179
220,2024-01-29 14:30:34,13.30447,65.18866,6.36375,65.23938
221,2024-01-29 14:30:39,13.34212,65.18128,6.141492,65.38358
222,2024-01-29 14:30:44,13.39809,65.1885,6.759728,64.79363
223,2024-01-29 14:30:49,13.39994,65.18908,6.992498,64.85636
224,2024-01-29 14:30:54,13.30698,65.19234,6.773417,65.13998
225,2024-01-29 14:30:59,13.39037,65.19081,6.846473,65.13882
226,2024-01-29 14:31:04,13.39968,65.19133,8.12171,64.32513
227,2024-01-29 14:31:09,13.39999,65.19634,7.65862,64.9602
228,2024-01-29 14:31:14,13.4,65.1916,7.011865,65.56503
229,2024-01-29 14:31:19,13.31834,65.19565,6.078084,66.00785
230,2024-01-29 14:31:24,13.26495,65.18829,6.339069,65.5251
231,2024-01-29 14:31:29,13.28925,65.1918,6.620876,65.19777
232,2024-01-29 14:31:35,13.3907,65.19469,5.731984,65.75277
233,2024-01-29 14:31:40,13.49634,65.19267,5.608591,65.56049
234,2024-01-29 14:31:45,13.59588,65.19527,12.41525,59.73239
235,2024-01-29 14:31:50,13.59987,65.19299,45.19556,40.23932
236,2024-01-29 14:31:55,13.6,65.19046,52.18994,48.8635
237,2024-01-29 14:32:00,13.51307,65.19146,44.30437,62.83668
238,2024-01-29 14:32:05,13.50043,65.18987,20.92667,78.77403
239,2024-01-29 14:32:10,13.41915,65.18991,19.18272,73.58345
240,2024-01-29 14:32:15,13.40064,65.18607,16.02642,71.91891
241,2024-01-29 14:32:20,13.40002,65.18983,13.30641,70.54845
242,2024-01-29 14:32:25,13.4,65.19186,12.61945,68.5534
243,2024-01-29 14:32:30,13.4,65.18677,10.18244,68.64898
244,2024-01-29 14:32:35,13.49463,65.18073,8.30665,68.31374
245,2024-01-29 14:32:40,13.49983,65.17962,8.662641,66.46359
246,2024-01-29 14:32:46,13.5,65.18107,7.608227,66.69908
247,2024-01-29 14:32:51,13.56344,65.17166,7.472907,65.89995
248,2024-01-29 14:32:56,13.59938,65.16577,0.0,65.74691
249,2024-01-29 14:33:01,13.60978,65.16534,0.0,63.28227
250,2024-01-29 14:33:06,14.45868,65.16459,0.0,61.62304
251,2024-01-29 14:33:11,14.59528,65.16358,0.0,61.93746
252,2024-01-29 14:33:16,14.54802,65.15983,0.0,62.09173
253,2024-01-29 14:33:21,14.50161,65.16293,0.0,62.24928
254,2024-01-29 14:33:26,14.50006,65.16151,0.0,62.481
255,2024-01-29 14:33:31,14.5,65.15868,0.0,63.06324
256,2024-01-29 14:33:36,14.37253,65.16093,0.0,64.67928
257,2024-01-29 14:33:41,14.1521,65.15459,0.0,67.52529
258,2024-01-29 14:33:46,13.93224,65.15405,0.0,68.07755
259,2024-01-29 14:33:51,13.73541,65.1498,0.0,68.70065
260,2024-01-29 14:33:56,13.70118,65.15578,0.0,69.09322
261,2024-01-29 14:34:02,13.70844,65.15176,0.0,68.95388
262,2024-01-29 14:34:07,13.70015,65.15183,0.0,69.02478
263,2024-01-29 14:34:12,13.68287,65.14922,0.0,69.42451
264,2024-01-29 14:34:17,13.69904,65.14624,0.0,69.66679
265,2024-01-29 14:34:22,13.61999,65.15093,0.0,69.577
266,2024-01-29 14:34:27,13.60066,65.14919,0.0,69.76066
267,2024-01-29 14:34:32,13.60002,65.14677,0.0,69.67793
268,2024-01-29 14:34:37,13.51081,65.14973,0.0,69.65598
269,2024-01-29 14:34:42,13.50036,65.15088,0.0,69.60189
270,2024-01-29 14:34:47,13.5,65.15015,0.0,69.45041
271,2024-01-29 14:34:52,13.46426,65.14894,0.0,69.43466
272,2024-01-29 14:34:57,13.40215,65.14876,0.0,69.33001
273,2024-01-29 14:35:02,13.30357,65.14803,0.0,69.11253
274,2024-01-29 14:35:07,13.22558,65.14378,0.0,69.00376
275,2024-01-29 14:35:13,13.20085,65.15019,0.0,68.90982
276,2024-01-29 14:35:18,13.15051,65.14812,0.0,68.82934
277,2024-01-29 14:35:23,13.10086,65.15216,0.0,68.66552
278,2024-01-29 14:35:28,13.10003,65.14619,0.0,68.47134
279,2024-01-29 14:35:33,13.10457,65.14065,0.0,68.27302
280,2024-01-29 14:35:38,13.03039,65.14323,0.0,68.14502
281,2024-01-29 14:35:43,13.09769,65.133,0.0,67.88656
282,2024-01-29 14:35:48,13.09993,65.12967,0.0,67.80289
283,2024-01-29 14:35:53,13.0105,65.12815,0.0,67.74191
284,2024-01-29 14:35:58,13.00035,65.13152,0.0,67.52837
285,2024-01-29 14:36:03,13.0,65.13107,0.0,67.32828
286,2024-01-29 14:36:08,13.0,65.13268,0.0,67.11646
287,2024-01-29 14:36:13,13.0,65.1321,0.0,67.0374
288,2024-01-29 14:36:18,12.94253,65.1294,0.0,66.96159
289,2024-01-29 14:36:23,12.90734,65.124,0.0,66.66142
290,2024-01-29 14:36:29,12.99692,65.11567,0.0,66.59544
291,2024-01-29 14:36:34,12.99995,65.10976,0.0,66.59996
292,2024-01-29 14:36:39,13.0,65.10821,0.0,66.51098
293,2024-01-29 14:36:44,13.0,65.10936,0.0,66.29359
294,2024-01-29 14:36:49,12.90453,65.11246,0.0,66.1287
