Id,Time,MF01,MF02,MF03,MF04,MF05
1,3/9/2023 3:02:43 PM,37.92477,0,0,0,1422.179
2,3/9/2023 3:04:13 PM,0,0,0,0,0
3,3/9/2023 3:05:43 PM,38.15264,0,0,0,1445.456
4,3/9/2023 3:07:13 PM,0,0,0,0,0
5,3/9/2023 3:08:43 PM,38.15264,0,0,0,1445.456
6,3/9/2023 3:10:13 PM,0,0,0,0,0
7,3/9/2023 3:11:43 PM,38.39765,0,0,0,1469.888
8,3/9/2023 3:13:13 PM,0,0,0,0,0
9,3/9/2023 3:14:43 PM,38.39765,0,0,0,1469.888
10,3/9/2023 3:16:13 PM,0,0,0,0,0
